Train step=36400, hour=13, Loss = 1.1652518878690898e-05
Train step=36500, hour=13, Loss = 8.56147198646795e-06
Train step=36600, hour=13, Loss = 8.132963557727635e-06
Train step=36700, hour=13, Loss = 7.75764692662051e-06
Train step=36800, hour=13, Loss = 7.022138561296742e-06
Train step=36900, hour=13, Loss = 7.172032383095939e-06
Train step=37000, hour=13, Loss = 6.627556558669312e-06
Train step=37100, hour=13, Loss = 6.917109203641303e-06
Train step=37200, hour=13, Loss = 6.836693501099944e-06
Train step=37300, hour=13, Loss = 6.740790922776796e-06
Train step=37400, hour=13, Loss = 6.656302957708249e-06
Train step=37500, hour=13, Loss = 6.608670901186997e-06
Train step=37600, hour=13, Loss = 6.847075383120682e-06
Train step=37700, hour=13, Loss = 6.65997140458785e-06
Train step=37800, hour=13, Loss = 6.523890078824479e-06
Train step=37900, hour=13, Loss = 7.045599431876326e-06
Train step=38000, hour=13, Loss = 6.4904161263257265e-06
Train step=38100, hour=13, Loss = 6.773113454983104e-06
Train step=38200, hour=13, Loss = 6.99828342476394e-06
Train step=38300, hour=14, Loss = 0.0003380051930435002
Train step=38400, hour=14, Loss = 1.3787303942081053e-05
Train step=38500, hour=14, Loss = 8.406857887166552e-06
Train step=38600, hour=14, Loss = 7.886259481892921e-06
Train step=38700, hour=14, Loss = 8.172537491191179e-06
Train step=38800, hour=14, Loss = 7.142392860259861e-06
Train step=38900, hour=14, Loss = 7.1985205067903735e-06
Train step=39000, hour=14, Loss = 6.9808911575819366e-06
Train step=39100, hour=14, Loss = 7.227009518828709e-06
Train step=39200, hour=14, Loss = 8.03371312940726e-06
Train step=39300, hour=14, Loss = 6.898460014781449e-06
Train step=39400, hour=14, Loss = 6.864150236651767e-06
Train step=39500, hour=14, Loss = 7.187634309957502e-06
Train step=39600, hour=14, Loss = 7.265439307957422e-06
Train step=39700, hour=14, Loss = 6.653900072706165e-06
Train step=39800, hour=14, Loss = 7.001403901085723e-06
Train step=39900, hour=14, Loss = 8.324484952026978e-06
Train step=40000, hour=14, Loss = 7.154574632295407e-06
Train step=40100, hour=15, Loss = 3.977714368375018e-05
Train step=40200, hour=15, Loss = 1.3907805623603053e-05
Train step=40300, hour=15, Loss = 1.1756693311326671e-05
Train step=40400, hour=15, Loss = 9.756811778061092e-06
Train step=40500, hour=15, Loss = 8.209012776205782e-06
Train step=40600, hour=15, Loss = 7.751757038931828e-06
Train step=40700, hour=15, Loss = 7.520827693952015e-06
Train step=40800, hour=15, Loss = 7.294823262782302e-06
Train step=40900, hour=15, Loss = 7.146387815737398e-06
Train step=41000, hour=15, Loss = 7.300147899513831e-06
Train step=41100, hour=15, Loss = 7.434940926032141e-06
Train step=41200, hour=15, Loss = 7.142189133446664e-06
Train step=41300, hour=15, Loss = 6.935484179848572e-06
Train step=41400, hour=15, Loss = 6.809189471823629e-06
Train step=41500, hour=15, Loss = 6.673249572486384e-06
Train step=41600, hour=15, Loss = 6.601061613764614e-06
Train step=41700, hour=15, Loss = 6.673152711300645e-06
Train step=41800, hour=16, Loss = 0.0003263732069171965
Train step=41900, hour=16, Loss = 7.110580918379128e-05
Train step=42000, hour=16, Loss = 3.4203876566607505e-05
Train step=42100, hour=16, Loss = 2.5907578674377874e-05
Train step=42200, hour=16, Loss = 1.758082908054348e-05
Train step=42300, hour=16, Loss = 1.3870033399143722e-05
Train step=42400, hour=16, Loss = 1.6002632037270814e-05
Train step=42500, hour=16, Loss = 1.4186290172801819e-05
Train step=42600, hour=16, Loss = 9.580317055224441e-06
Train step=42700, hour=16, Loss = 9.812411917664576e-06
Train step=42800, hour=16, Loss = 1.1235278179810848e-05
Train step=42900, hour=16, Loss = 2.2310303393169306e-05
Train step=43000, hour=16, Loss = 1.1971307685598731e-05
Train step=43100, hour=16, Loss = 2.3298558517126366e-05
Train step=43200, hour=16, Loss = 2.9263677788549103e-05
Train step=43300, hour=16, Loss = 1.2216472896398045e-05
Train step=43400, hour=16, Loss = 9.756920917425305e-06
Train step=43500, hour=16, Loss = 1.0243928954878356e-05
Train step=43600, hour=17, Loss = 0.00010223047866020352
Train step=43700, hour=17, Loss = 8.984631676867139e-06
Train step=43800, hour=17, Loss = 8.017905201995745e-06
Train step=43900, hour=17, Loss = 7.967260899022222e-06
Train step=44000, hour=17, Loss = 7.092320629453752e-06
Train step=44100, hour=17, Loss = 7.039462616376113e-06
Train step=44200, hour=17, Loss = 7.048656698316336e-06
Train step=44300, hour=17, Loss = 6.8684621510328725e-06
Train step=44400, hour=17, Loss = 7.182362423918676e-06
Train step=44500, hour=17, Loss = 7.596659088449087e-06
Train step=44600, hour=17, Loss = 7.037651357677532e-06
Train step=44700, hour=17, Loss = 6.691960152238607e-06
Train step=44800, hour=17, Loss = 6.74984221404884e-06
Train step=44900, hour=17, Loss = 6.574696726602269e-06
Train step=45000, hour=17, Loss = 7.3035998866544105e-06
Train step=45100, hour=17, Loss = 1.3783096619590651e-05
Train step=45200, hour=17, Loss = 6.649828719673678e-06
Train step=45300, hour=17, Loss = 1.0328494681743905e-05
Train step=45400, hour=17, Loss = 2.778244743240066e-05
Train step=45500, hour=18, Loss = 1.146149224950932e-05
Train step=45600, hour=18, Loss = 9.18065597943496e-06
Train step=45700, hour=18, Loss = 8.292150596389547e-06
Train step=45800, hour=18, Loss = 7.454695150954649e-06
Train step=45900, hour=18, Loss = 7.188365998445079e-06
Train step=46000, hour=18, Loss = 6.959276106499601e-06
Train step=46100, hour=18, Loss = 7.0594355747743975e-06
Train step=46200, hour=18, Loss = 7.063135853968561e-06
Train step=46300, hour=18, Loss = 6.901695996930357e-06
Train step=46400, hour=18, Loss = 7.0031287577876355e-06
Train step=46500, hour=18, Loss = 6.9975412770872936e-06
Train step=46600, hour=18, Loss = 7.211985121102771e-06
Train step=46700, hour=18, Loss = 8.286882803076878e-06
Train step=46800, hour=18, Loss = 9.653593224356882e-06
Train step=46900, hour=18, Loss = 8.362832886632532e-06
Train step=47000, hour=18, Loss = 9.921577657223679e-06
Train step=47100, hour=18, Loss = 6.753869456588291e-06
Train step=47200, hour=18, Loss = 7.579585144412704e-06
Train step=47300, hour=18, Loss = 1.105231058318168e-05
Train step=47400, hour=19, Loss = 0.00010376048157922924
Train step=47500, hour=19, Loss = 3.520197788020596e-05
Train step=47600, hour=19, Loss = 1.4058101442060433e-05
Train step=47700, hour=19, Loss = 1.4285373254097067e-05
Train step=47800, hour=19, Loss = 1.0991349881805945e-05
Train step=47900, hour=19, Loss = 9.462472007726319e-06
Train step=48000, hour=19, Loss = 9.84895450528711e-06
Train step=48100, hour=19, Loss = 9.819425940804649e-06
Train step=48200, hour=19, Loss = 9.827913345361594e-06
Train step=48300, hour=19, Loss = 8.291759513667785e-06
Train step=48400, hour=19, Loss = 9.145354852080345e-06
Train step=48500, hour=19, Loss = 8.93158448889153e-06
Train step=48600, hour=19, Loss = 8.59420106280595e-06
Train step=48700, hour=19, Loss = 8.425214218732435e-06
Train step=48800, hour=19, Loss = 9.036562914843671e-06
Train step=48900, hour=19, Loss = 1.0073796147480607e-05
Train step=49000, hour=19, Loss = 1.2091637472622097e-05
Train step=49100, hour=19, Loss = 2.149530700989999e-05
Train step=49200, hour=19, Loss = 7.283755167009076e-06
Train step=49300, hour=19, Loss = 7.341198397625703e-06
Train step=49400, hour=19, Loss = 9.773763849807438e-06
Train step=49500, hour=20, Loss = 5.483478889800608e-05
