Train step=49900, hour=11, Loss = 5.588106155395508
Train step=50000, hour=11, Loss = 7.336236000061035
Train step=50100, hour=11, Loss = 3.6928250789642334
Train step=50200, hour=11, Loss = 3.626511573791504
Train step=50300, hour=11, Loss = 4.013638496398926
Train step=50400, hour=11, Loss = 4.298449516296387
Train step=50500, hour=12, Loss = 1.9070844650268555
Train step=50600, hour=12, Loss = 3.4003686904907227
Train step=50700, hour=12, Loss = 6.158459186553955
Train step=50800, hour=12, Loss = 6.416119575500488
Train step=50900, hour=12, Loss = 5.121738910675049
Train step=51000, hour=12, Loss = 7.5635199546813965
Train step=51100, hour=12, Loss = 4.526635646820068
Train step=51200, hour=12, Loss = 2.5354270935058594
Train step=51300, hour=12, Loss = 3.5485079288482666
Train step=51400, hour=12, Loss = 3.999361991882324
Train step=51500, hour=12, Loss = 2.365252733230591
Train step=51600, hour=12, Loss = 4.088068008422852
Train step=51700, hour=12, Loss = 5.564817428588867
Train step=51800, hour=13, Loss = 6.1619672775268555
Train step=51900, hour=13, Loss = 3.4142298698425293
Train step=52000, hour=13, Loss = 5.800107479095459
Train step=52100, hour=13, Loss = 3.3227081298828125
Train step=52200, hour=13, Loss = 3.2760403156280518
Train step=52300, hour=13, Loss = 2.0971031188964844
Train step=52400, hour=13, Loss = -2.4804224967956543
Train step=52500, hour=13, Loss = 8.048233985900879
Train step=52600, hour=13, Loss = 1.3263442516326904
Train step=52700, hour=13, Loss = -1.6152634620666504
Train step=52800, hour=13, Loss = 11.731535911560059
Train step=52900, hour=13, Loss = 1.1824605464935303
Train step=53000, hour=13, Loss = 2.4047818183898926
Train step=53100, hour=14, Loss = 5.016037940979004
Train step=53200, hour=14, Loss = 6.361372470855713
Train step=53300, hour=14, Loss = 2.0374927520751953
Train step=53400, hour=14, Loss = 6.486093044281006
Train step=53500, hour=14, Loss = 1.612069845199585
Train step=53600, hour=14, Loss = 2.753398895263672
Train step=53700, hour=14, Loss = 4.294177055358887
Train step=53800, hour=14, Loss = 3.6030545234680176
Train step=53900, hour=14, Loss = 5.210014820098877
Train step=54000, hour=14, Loss = 4.924955368041992
Train step=54100, hour=14, Loss = 3.5105624198913574
Train step=54200, hour=14, Loss = 6.035164833068848
Train step=54300, hour=14, Loss = 5.541632175445557
Train step=54400, hour=14, Loss = 1.8193981647491455
Train step=54500, hour=15, Loss = 3.326535701751709
Train step=54600, hour=15, Loss = 5.702152252197266
Train step=54700, hour=15, Loss = 2.990372896194458
Train step=54800, hour=15, Loss = 6.716883659362793
Train step=54900, hour=15, Loss = 5.239622116088867
Train step=55000, hour=15, Loss = 1.813650369644165
Train step=55100, hour=15, Loss = 5.124136924743652
Train step=55200, hour=15, Loss = 0.5793068408966064
Train step=55300, hour=15, Loss = 10.443455696105957
Train step=55400, hour=15, Loss = 4.840299129486084
Train step=55500, hour=15, Loss = 4.304650783538818
Train step=55600, hour=15, Loss = 2.9570584297180176
Train step=55700, hour=15, Loss = 2.7758073806762695
Train step=55800, hour=15, Loss = 6.077218532562256
