Train step=19200, hour=13, Loss = 8.646620750427246
Train step=19300, hour=13, Loss = 7.402828216552734
Train step=19400, hour=13, Loss = 7.3413496017456055
Train step=19500, hour=13, Loss = 6.878323078155518
Train step=19600, hour=13, Loss = 5.272481918334961
Train step=19700, hour=13, Loss = 4.094954013824463
Train step=19800, hour=13, Loss = 5.971510887145996
Train step=19900, hour=13, Loss = 7.059447765350342
Train step=20000, hour=13, Loss = 4.882231712341309
Train step=20100, hour=13, Loss = 5.870502948760986
Train step=20200, hour=13, Loss = 3.1765294075012207
Train step=20300, hour=13, Loss = 4.568635940551758
Train step=20400, hour=13, Loss = 6.872554779052734
Train step=20500, hour=13, Loss = 7.012268543243408
Train step=20600, hour=14, Loss = 7.817596435546875
Train step=20700, hour=14, Loss = 9.274881362915039
Train step=20800, hour=14, Loss = 9.240320205688477
Train step=20900, hour=14, Loss = 4.487893104553223
Train step=21000, hour=14, Loss = 6.039876461029053
Train step=21100, hour=14, Loss = 4.501278877258301
Train step=21200, hour=14, Loss = 6.250049591064453
Train step=21300, hour=14, Loss = 7.108717918395996
Train step=21400, hour=14, Loss = 8.535651206970215
Train step=21500, hour=14, Loss = 5.254575729370117
Train step=21600, hour=14, Loss = 6.959354400634766
Train step=21700, hour=14, Loss = 5.615560054779053
Train step=21800, hour=14, Loss = 3.852349281311035
Train step=21900, hour=15, Loss = 9.010486602783203
Train step=22000, hour=15, Loss = 6.83995246887207
Train step=22100, hour=15, Loss = 6.901041030883789
Train step=22200, hour=15, Loss = 4.42487907409668
Train step=22300, hour=15, Loss = 6.662381649017334
Train step=22400, hour=15, Loss = 6.601215362548828
Train step=22500, hour=15, Loss = 7.016201019287109
Train step=22600, hour=15, Loss = 6.237626075744629
Train step=22700, hour=15, Loss = 6.069328308105469
Train step=22800, hour=15, Loss = 6.357369422912598
Train step=22900, hour=15, Loss = 6.995857238769531
Train step=23000, hour=15, Loss = 6.477232933044434
Train step=23100, hour=15, Loss = 5.762418270111084
Train step=23200, hour=15, Loss = 4.906270980834961
Train step=23300, hour=15, Loss = 3.3075945377349854
Train step=23400, hour=16, Loss = 8.147238731384277
Train step=23500, hour=16, Loss = 8.262185096740723
Train step=23600, hour=16, Loss = 7.572659492492676
Train step=23700, hour=16, Loss = 6.207764625549316
Train step=23800, hour=16, Loss = 8.135123252868652
Train step=23900, hour=16, Loss = 7.558541297912598
Train step=24000, hour=16, Loss = 7.040780067443848
Train step=24100, hour=16, Loss = 7.105154514312744
Train step=24200, hour=16, Loss = 4.289346694946289
Train step=24300, hour=16, Loss = 13.875391006469727
Train step=24400, hour=16, Loss = 3.5837342739105225
Train step=24500, hour=16, Loss = 8.105798721313477
Train step=24600, hour=16, Loss = 5.94821834564209
Train step=24700, hour=16, Loss = 5.4378557205200195
Train step=24800, hour=17, Loss = 8.801548957824707
Train step=24900, hour=17, Loss = 9.288827896118164
Train step=25000, hour=17, Loss = 8.384530067443848
Train step=25100, hour=17, Loss = 7.982952117919922
Train step=25200, hour=17, Loss = 7.355757236480713
Train step=25300, hour=17, Loss = 7.908236026763916
Train step=25400, hour=17, Loss = 7.617414951324463
Train step=25500, hour=17, Loss = 7.609888076782227
Train step=25600, hour=17, Loss = 6.989401340484619
Train step=25700, hour=17, Loss = 6.974084377288818
Train step=25800, hour=17, Loss = 6.148618698120117
Train step=25900, hour=17, Loss = 7.798517227172852
Train step=26000, hour=17, Loss = 6.269901275634766
Train step=26100, hour=17, Loss = 7.342833042144775
Train step=26200, hour=17, Loss = 6.875082969665527
Train step=26300, hour=17, Loss = 5.260293006896973
Train step=26400, hour=17, Loss = 6.763799667358398
Train step=26500, hour=18, Loss = 7.514514923095703
Train step=26600, hour=18, Loss = 8.719423294067383
Train step=26700, hour=18, Loss = 11.084022521972656
Train step=26800, hour=18, Loss = 8.154329299926758
Train step=26900, hour=18, Loss = 7.378228187561035
Train step=27000, hour=18, Loss = 7.908003330230713
Train step=27100, hour=18, Loss = 5.899684906005859
Train step=27200, hour=18, Loss = 8.174989700317383
Train step=27300, hour=18, Loss = 9.173419952392578
Train step=27400, hour=18, Loss = 6.628394603729248
Train step=27500, hour=18, Loss = 4.779156684875488
Train step=27600, hour=18, Loss = 6.315223693847656
Train step=27700, hour=18, Loss = 6.019837379455566
Train step=27800, hour=18, Loss = 6.198306560516357
Train step=27900, hour=18, Loss = 6.76235294342041
Train step=28000, hour=19, Loss = 9.006611824035645
Train step=28100, hour=19, Loss = 8.431401252746582
Train step=28200, hour=19, Loss = 7.155686855316162
Train step=28300, hour=19, Loss = 7.250124931335449
Train step=28400, hour=19, Loss = 6.966479301452637
Train step=28500, hour=19, Loss = 5.13405179977417
Train step=28600, hour=19, Loss = 8.333703994750977
Train step=28700, hour=19, Loss = 5.688541412353516
Train step=28800, hour=19, Loss = 5.501958847045898
Train step=28900, hour=19, Loss = 7.372509956359863
Train step=29000, hour=19, Loss = 8.069868087768555
Train step=29100, hour=19, Loss = 8.374885559082031
Train step=29200, hour=19, Loss = 7.6555328369140625
Train step=29300, hour=19, Loss = 5.007445335388184
Train step=29400, hour=19, Loss = 8.654745101928711
Train step=29500, hour=19, Loss = 3.5279479026794434
Train step=29600, hour=19, Loss = 4.295252799987793
Train step=29700, hour=20, Loss = 9.273112297058105
Train step=29800, hour=20, Loss = 8.781599044799805
Train step=29900, hour=20, Loss = 9.525561332702637
Train step=30000, hour=20, Loss = 8.675867080688477
Train step=30100, hour=20, Loss = 8.896516799926758
Train step=30200, hour=20, Loss = 8.680885314941406
Train step=30300, hour=20, Loss = 8.09936237335205
Train step=30400, hour=20, Loss = 6.899069309234619
Train step=30500, hour=20, Loss = 10.462747573852539
Train step=30600, hour=20, Loss = 7.052889823913574
Train step=30700, hour=20, Loss = 7.792037010192871
Train step=30800, hour=20, Loss = 7.55864953994751
Train step=30900, hour=20, Loss = 7.376856327056885
Train step=31000, hour=20, Loss = 7.717944145202637
Train step=31100, hour=20, Loss = 6.868391036987305
Train step=31200, hour=20, Loss = 8.034455299377441
Train step=31300, hour=21, Loss = 9.875395774841309
Train step=31400, hour=21, Loss = 8.900384902954102
Train step=31500, hour=21, Loss = 7.187859535217285
Train step=31600, hour=21, Loss = 8.715639114379883
Train step=31700, hour=21, Loss = 9.195161819458008
Train step=31800, hour=21, Loss = 7.621241569519043
Train step=31900, hour=21, Loss = 7.085880756378174
Train step=32000, hour=21, Loss = 8.931699752807617
Train step=32100, hour=21, Loss = 8.020050048828125
Train step=32200, hour=21, Loss = 6.662173271179199
Train step=32300, hour=21, Loss = 7.781802654266357
Train step=32400, hour=21, Loss = 7.0962677001953125
Train step=32500, hour=21, Loss = 5.682206153869629
Train step=32600, hour=21, Loss = 6.659012317657471
Train step=32700, hour=21, Loss = 6.149324417114258
Train step=32800, hour=21, Loss = 9.000882148742676
Train step=32900, hour=21, Loss = 8.178400993347168
Train step=33000, hour=22, Loss = 9.056768417358398
Train step=33100, hour=22, Loss = 8.916670799255371
Train step=33200, hour=22, Loss = 8.915998458862305
Train step=33300, hour=22, Loss = 8.880794525146484
Train step=33400, hour=22, Loss = 8.795440673828125
Train step=33500, hour=22, Loss = 8.11806869506836
Train step=33600, hour=22, Loss = 7.795228958129883
Train step=33700, hour=22, Loss = 8.448551177978516
Train step=33800, hour=22, Loss = 7.113186836242676
Train step=33900, hour=22, Loss = 6.6237897872924805
Train step=34000, hour=22, Loss = 6.7844557762146
Train step=34100, hour=22, Loss = 9.29282283782959
Train step=34200, hour=22, Loss = 6.475184440612793
Train step=34300, hour=22, Loss = 6.55151891708374
Train step=34400, hour=22, Loss = 9.686254501342773
Train step=34500, hour=22, Loss = 8.355149269104004
Train step=34600, hour=23, Loss = 10.05237865447998
Train step=34700, hour=23, Loss = 9.784038543701172
Train step=34800, hour=23, Loss = 10.190539360046387
Train step=34900, hour=23, Loss = 8.533102035522461
Train step=35000, hour=23, Loss = 10.35159969329834
Train step=35100, hour=23, Loss = 9.072906494140625
Train step=35200, hour=23, Loss = 8.633443832397461
Train step=35300, hour=23, Loss = 9.792774200439453
Train step=35400, hour=23, Loss = 8.75299072265625
Train step=35500, hour=23, Loss = 8.783087730407715
Train step=35600, hour=23, Loss = 8.684162139892578
Train step=35700, hour=23, Loss = 8.101583480834961
Train step=35800, hour=0, Loss = 8.120683670043945
Train step=35900, hour=0, Loss = 8.92306900024414
Train step=36000, hour=0, Loss = 7.249341011047363
Train step=36100, hour=0, Loss = 8.16040325164795
Train step=36200, hour=0, Loss = 8.553659439086914
Train step=36300, hour=0, Loss = 6.605371475219727
Train step=36400, hour=0, Loss = 7.158430099487305
Train step=36500, hour=0, Loss = 9.621728897094727
Train step=36600, hour=0, Loss = 7.514493465423584
Train step=36700, hour=0, Loss = 6.480633735656738
Train step=36800, hour=0, Loss = 7.568032264709473
Train step=36900, hour=0, Loss = 7.638533592224121
Train step=37000, hour=0, Loss = 5.921480178833008
Train step=37100, hour=0, Loss = 6.3807783126831055
Train step=37200, hour=0, Loss = 5.932000637054443
Train step=37300, hour=1, Loss = 8.014398574829102
Train step=37400, hour=1, Loss = 8.36050033569336
Train step=37500, hour=1, Loss = 7.536474227905273
Train step=37600, hour=1, Loss = 8.648860931396484
Train step=37700, hour=1, Loss = 8.616592407226562
Train step=37800, hour=1, Loss = 8.267024040222168
Train step=37900, hour=1, Loss = 6.151867866516113
Train step=38000, hour=1, Loss = 8.421648025512695
Train step=38100, hour=1, Loss = 8.531811714172363
Train step=38200, hour=1, Loss = 6.793302536010742
Train step=38300, hour=1, Loss = 8.985054016113281
Train step=38400, hour=1, Loss = 6.962835311889648
Train step=38500, hour=1, Loss = 6.543628215789795
Train step=38600, hour=1, Loss = 8.236552238464355
Train step=38700, hour=1, Loss = 7.911190986633301
Train step=38800, hour=2, Loss = 7.16269588470459
Train step=38900, hour=2, Loss = 9.30817699432373
Train step=39000, hour=2, Loss = 8.024276733398438
Train step=39100, hour=2, Loss = 9.254554748535156
Train step=39200, hour=2, Loss = 9.165456771850586
Train step=39300, hour=2, Loss = 11.142580032348633
Train step=39400, hour=2, Loss = 10.199504852294922
Train step=39500, hour=2, Loss = 8.264544486999512
Train step=39600, hour=2, Loss = 7.728851318359375
Train step=39700, hour=2, Loss = 7.984968185424805
Train step=39800, hour=2, Loss = 8.783390998840332
Train step=39900, hour=2, Loss = 8.802142143249512
Train step=40000, hour=2, Loss = 7.580799102783203
Train step=40100, hour=2, Loss = 7.127928733825684
Train step=40200, hour=2, Loss = 7.846628189086914
Train step=40300, hour=3, Loss = 9.368730545043945
Train step=40400, hour=3, Loss = 9.33395767211914
Train step=40500, hour=3, Loss = 9.074934005737305
Train step=40600, hour=3, Loss = 9.862556457519531
Train step=40700, hour=3, Loss = 8.293689727783203
Train step=40800, hour=3, Loss = 9.37338924407959
Train step=40900, hour=3, Loss = 8.587697982788086
Train step=41000, hour=3, Loss = 9.138257026672363
Train step=41100, hour=3, Loss = 8.566449165344238
Train step=41200, hour=3, Loss = 9.21343994140625
Train step=41300, hour=3, Loss = 7.4998579025268555
Train step=41400, hour=3, Loss = 8.07592487335205
Train step=41500, hour=3, Loss = 8.033817291259766
Train step=41600, hour=3, Loss = 8.91379451751709
Train step=41700, hour=3, Loss = 7.155427932739258
Train step=41800, hour=3, Loss = 7.462479114532471
Train step=41900, hour=3, Loss = 7.8640851974487305
Train step=42000, hour=4, Loss = 9.709930419921875
Train step=42100, hour=4, Loss = 9.532447814941406
Train step=42200, hour=4, Loss = 8.830352783203125
Train step=42300, hour=4, Loss = 8.798404693603516
