time,num_idle,num_serving,num_charging,num_cruising,pass_arrivals,removed_pass
1464787980,2999,2999,2999,2999,0,0
1464788040,2999,2999,2999,2999,0,0
1464788100,2999,2999,2999,2999,0,0
1464788160,2999,2999,2999,2999,0,0
1464788220,2999,2999,2999,2999,0,0
1464788280,2999,2999,2999,2999,0,0
1464788340,2999,2999,2999,2999,0,0
1464788400,2999,2999,2999,2999,0,0
1464788460,2999,2999,2999,2999,0,0
1464788520,2999,2999,2999,2999,0,0
1464788580,2999,2999,2999,2999,0,0
1464788640,2999,2999,2999,2999,0,0
1464788700,2999,2999,2999,2999,0,0
1464788760,2999,2999,2999,2999,0,0
1464788820,2999,2999,2999,2999,0,0
1464788880,2999,2999,2999,2999,0,0
1464788940,2999,2999,2999,2999,0,0
1464789000,2999,2999,2999,2999,0,0
1464789060,2999,2999,2999,2999,0,0
1464789120,2999,2999,2999,2999,0,0
1464789180,2999,2999,2999,2999,0,0
1464789240,2999,2999,2999,2999,0,0
1464789300,2999,2999,2999,2999,0,0
1464789360,2999,2999,2999,2999,0,0
1464789420,2999,2999,2999,2999,0,0
1464789480,2999,2999,2999,2999,0,0
1464789540,2999,2999,2999,2999,0,0
1464789600,2999,2999,2999,2999,0,0
1464789660,2999,2999,2999,2999,0,0
1464789720,2999,2999,2999,2999,0,0
1464789780,2999,2999,2999,2999,0,0
1464789840,2999,2999,2999,2999,0,0
1464789900,2999,2999,2999,2999,0,0
1464789960,2999,2999,2999,2999,0,0
1464790020,2999,2999,2999,2999,0,0
1464790080,2999,2999,2999,2999,0,0
1464790140,2999,2999,2999,2999,0,0
1464790200,2999,2999,2999,2999,0,0
1464790260,2999,2999,2999,2999,0,0
1464790320,2999,2999,2999,2999,0,0
1464790380,2999,2999,2999,2999,0,0
1464790440,2999,2999,2999,2999,0,0
1464790500,2999,2999,2999,2999,0,0
1464790560,2999,2999,2999,2999,0,0
1464790620,2999,2999,2999,2999,0,0
1464790680,2999,2999,2999,2999,0,0
1464790740,2999,2999,2999,2999,0,0
1464790800,2999,2999,2999,2999,0,0
1464790860,2999,2999,2999,2999,0,0
1464790920,2999,2999,2999,2999,0,0
1464790980,2999,2999,2999,2999,0,0
1464791040,2999,2999,2999,2999,0,0
1464791100,2999,2999,2999,2999,0,0
1464791160,2999,2999,2999,2999,0,0
1464791220,2999,2999,2999,2999,0,0
1464791280,2999,2999,2999,2999,0,0
1464791340,2999,2999,2999,2999,0,0
1464791400,2999,2999,2999,2999,0,0
1464791460,2999,2999,2999,2999,0,0
1464791520,2999,2999,2999,2999,0,0
1464791580,2999,2999,2999,2999,0,0
1464791640,2999,2999,2999,2999,0,0
1464791700,2999,2999,2999,2999,0,0
1464791760,2999,2999,2999,2999,0,0
1464791820,2999,2999,2999,2999,0,0
1464791880,2999,2999,2999,2999,0,0
1464791940,2999,2999,2999,2999,0,0
1464792000,2999,2999,2999,2999,0,0
1464792060,2999,2999,2999,2999,0,0
1464792120,2999,2999,2999,2999,0,0
1464792180,2999,2999,2999,2999,0,0
1464792240,2999,2999,2999,2999,0,0
1464792300,2999,2999,2999,2999,0,0
1464792360,2999,2999,2999,2999,0,0
1464792420,2999,2999,2999,2999,0,0
1464792480,2999,2999,2999,2999,0,0
1464792540,2999,2999,2999,2999,0,0
1464792600,2999,2999,2999,2999,0,0
1464792660,2999,2999,2999,2999,0,0
1464792720,2999,2999,2999,2999,0,0
1464792780,2999,2999,2999,2999,0,0
1464792840,2999,2999,2999,2999,0,0
1464792900,2999,2999,2999,2999,0,0
1464792960,2999,2999,2999,2999,0,0
1464793020,2999,2999,2999,2999,0,0
1464793080,2999,2999,2999,2999,0,0
1464793140,2999,2999,2999,2999,0,0
1464793200,2999,2999,2999,2999,0,0
1464793260,2999,2999,2999,2999,0,0
1464793320,2999,2999,2999,2999,0,0
1464793380,2999,2999,2999,2999,0,0
1464793440,2999,2999,2999,2999,0,0
1464793500,2999,2999,2999,2999,0,0
1464793560,2999,2999,2999,2999,0,0
1464793620,2999,2999,2999,2999,0,0
1464793680,2999,2999,2999,2999,0,0
1464793740,2999,2999,2999,2999,0,0
1464793800,2999,2999,2999,2999,0,0
1464793860,2999,2999,2999,2999,0,0
1464793920,2999,2999,2999,2999,0,0
1464793980,2999,2999,2999,2999,0,0
1464794040,2999,2999,2999,2999,0,0
1464794100,2999,2999,2999,2999,0,0
1464794160,2999,2999,2999,2999,0,0
1464794220,2999,2999,2999,2999,0,0
1464794280,2999,2999,2999,2999,0,0
1464794340,2999,2999,2999,2999,0,0
1464794400,2999,2999,2999,2999,0,0
1464794460,2999,2999,2999,2999,0,0
1464794520,2999,2999,2999,2999,0,0
1464794580,2999,2999,2999,2999,0,0
1464794640,2999,2999,2999,2999,0,0
1464794700,2999,2999,2999,2999,0,0
1464794760,2999,2999,2999,2999,0,0
1464794820,2999,2999,2999,2999,0,0
1464794880,2999,2999,2999,2999,0,0
1464794940,2999,2999,2999,2999,0,0
1464795000,2999,2999,2999,2999,0,0
1464795060,2999,2999,2999,2999,0,0
1464795120,2999,2999,2999,2999,0,0
1464795180,2999,2999,2999,2999,0,0
1464795240,2999,2999,2999,2999,0,0
1464795300,2999,2999,2999,2999,0,0
1464795360,2999,2999,2999,2999,0,0
1464795420,2999,2999,2999,2999,0,0
1464795480,2999,2999,2999,2999,0,0
1464795540,2999,2999,2999,2999,0,0
1464795600,2999,2999,2999,2999,0,0
1464795660,2999,2999,2999,2999,0,0
1464795720,2999,2999,2999,2999,0,0
1464795780,2999,2999,2999,2999,0,0
1464795840,2999,2999,2999,2999,0,0
1464795900,2999,2999,2999,2999,0,0
1464795960,2999,2999,2999,2999,0,0
1464796020,2999,2999,2999,2999,0,0
1464796080,2999,2999,2999,2999,0,0
1464796140,2999,2999,2999,2999,0,0
1464796200,2999,2999,2999,2999,0,0
1464796260,2999,2999,2999,2999,0,0
1464796320,2999,2999,2999,2999,0,0
1464796380,2999,2999,2999,2999,0,0
1464796440,2999,2999,2999,2999,0,0
