Train step=37300, hour=13, Loss = 1.4900442693033256e-05
Train step=37400, hour=13, Loss = 1.020055788103491e-05
Train step=37500, hour=13, Loss = 9.435347237740643e-06
Train step=37600, hour=13, Loss = 8.576856998843141e-06
Train step=37700, hour=13, Loss = 1.1985969649686012e-05
Train step=37800, hour=13, Loss = 7.825837201380637e-06
Train step=37900, hour=13, Loss = 1.2020052963634953e-05
Train step=38000, hour=13, Loss = 1.8228492990601808e-05
Train step=38100, hour=13, Loss = 1.080400306818774e-05
Train step=38200, hour=14, Loss = 2.8934809961356223e-05
Train step=38300, hour=14, Loss = 7.856297997932415e-06
Train step=38400, hour=14, Loss = 7.3992910074593965e-06
Train step=38500, hour=14, Loss = 7.062398253765423e-06
Train step=38600, hour=14, Loss = 6.902778750372818e-06
Train step=38700, hour=14, Loss = 6.849185410828795e-06
Train step=38800, hour=14, Loss = 6.795238732593134e-06
Train step=38900, hour=14, Loss = 6.798881258873735e-06
Train step=39000, hour=14, Loss = 6.658830898231827e-06
Train step=39100, hour=14, Loss = 6.5722888393793255e-06
Train step=39200, hour=14, Loss = 6.661484349024249e-06
Train step=39300, hour=14, Loss = 6.573447990376735e-06
Train step=39400, hour=14, Loss = 6.519533144455636e-06
Train step=39500, hour=14, Loss = 6.568570825038478e-06
Train step=39600, hour=14, Loss = 6.748452960891882e-06
Train step=39700, hour=14, Loss = 6.5523863668204285e-06
Train step=39800, hour=14, Loss = 6.5205404098378494e-06
Train step=39900, hour=14, Loss = 6.465043497883016e-06
Train step=40000, hour=14, Loss = 6.3504021454718895e-06
Train step=40100, hour=14, Loss = 6.553242201334797e-06
Train step=40200, hour=14, Loss = 6.427333573810756e-06
Train step=40300, hour=15, Loss = 0.0003928187070414424
Train step=40400, hour=15, Loss = 3.083476622123271e-05
Train step=40500, hour=15, Loss = 2.237939042970538e-05
Train step=40600, hour=15, Loss = 1.1711413208104204e-05
Train step=40700, hour=15, Loss = 1.4785678104090039e-05
Train step=40800, hour=15, Loss = 1.0501189535716549e-05
Train step=40900, hour=15, Loss = 8.699980753590353e-06
Train step=41000, hour=15, Loss = 9.312683687312528e-06
Train step=41100, hour=15, Loss = 8.09829816716956e-06
Train step=41200, hour=15, Loss = 8.236816938733682e-06
Train step=41300, hour=15, Loss = 9.793198842089623e-06
Train step=41400, hour=15, Loss = 8.543662261217833e-06
Train step=41500, hour=15, Loss = 7.31422369426582e-06
Train step=41600, hour=15, Loss = 7.366232239292003e-06
Train step=41700, hour=15, Loss = 9.43255963647971e-06
Train step=41800, hour=15, Loss = 9.158076863968745e-06
Train step=41900, hour=15, Loss = 8.10575238574529e-06
Train step=42000, hour=15, Loss = 1.9348481146153063e-05
Train step=42100, hour=15, Loss = 7.520585768361343e-06
Train step=42200, hour=15, Loss = 1.4872955944156274e-05
Train step=42300, hour=15, Loss = 8.346974937012419e-06
Train step=42400, hour=16, Loss = 0.0001819367171265185
Train step=42500, hour=16, Loss = 2.2546653781319037e-05
Train step=42600, hour=16, Loss = 1.1572148650884628e-05
Train step=42700, hour=16, Loss = 9.594808034307789e-06
Train step=42800, hour=16, Loss = 8.715600415598601e-06
Train step=42900, hour=16, Loss = 8.289016477647237e-06
Train step=43000, hour=16, Loss = 7.929540515760891e-06
Train step=43100, hour=16, Loss = 7.71948089095531e-06
Train step=43200, hour=16, Loss = 7.2355496740783565e-06
Train step=43300, hour=16, Loss = 7.264316082000732e-06
Train step=43400, hour=16, Loss = 9.243090062227566e-06
Train step=43500, hour=16, Loss = 7.083879154379247e-06
Train step=43600, hour=16, Loss = 8.59924875840079e-06
Train step=43700, hour=16, Loss = 6.7111050157109275e-06
Train step=43800, hour=16, Loss = 7.31811223886325e-06
Train step=43900, hour=16, Loss = 8.178900316124782e-06
Train step=44000, hour=16, Loss = 1.982826870516874e-05
Train step=44100, hour=16, Loss = 8.860159141477197e-06
Train step=44200, hour=16, Loss = 7.34428476789617e-06
Train step=44300, hour=16, Loss = 6.756474704161519e-06
Train step=44400, hour=16, Loss = 1.6771336959209293e-05
Train step=44500, hour=17, Loss = 1.9764665921684355e-05
Train step=44600, hour=17, Loss = 9.180832421407104e-06
Train step=44700, hour=17, Loss = 7.835548785806168e-06
Train step=44800, hour=17, Loss = 8.382470696233213e-06
Train step=44900, hour=17, Loss = 7.292827831406612e-06
Train step=45000, hour=17, Loss = 7.140092748159077e-06
Train step=45100, hour=17, Loss = 6.6539182626002e-06
